Fecha,Ciudad,Sucursal,Categoría,Producto,Precio,Stock,Q0,Variación diaria precio
2026-06-12,La Paz,Calacoto,Panadería,Aceite Johnsons Baby 200 ml KNV,64.8,15.0,15.0,0.0
2026-06-12,La Paz,Calacoto,Panadería,Aceite Johnsons Baby Niños 250 ml,50.0,4.0,4.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite Kris Oliva Extra Virgen 500 ml,89.9,5.0,5.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite La Española Extra Virgen 200 ml,59.0,8.0,8.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite La Española Extra Virgen 250 ml,69.5,9.0,9.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite Oliva Borges 750 ml,185.0,15.0,15.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite Oliva Borges Extra Virgen 1 L,287.0,14.0,14.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite Oliva Borges Extra Virgen 250 ml,89.5,15.0,15.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite Oliva Borges Extra Virgen 750 ml,229.0,27.0,27.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite Oliva Carbonell Clasico 250 ml,65.0,6.0,6.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite Oliva Divella Extra Virgen Clasico 1 L,239.0,3.0,3.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite Oliva Fragata Extra Virgen 1 L,246.0,17.0,17.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite Oliva Fragata Orujo 1 L,160.0,49.0,49.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite Oliva Fragata Pomace 2 L,295.0,15.0,15.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite Oliva Kris Extra Virgen 1 L,149.9,17.0,17.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite Oliva La Española Clasico 1 L,219.0,6.0,6.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite Oliva La Española Extra Virgen 250 ml,79.9,14.0,14.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite Oliva La Española Extra Virgen 750 ml,179.0,1.0,1.0,0.0
2026-06-12,La Paz,Calacoto,Abarrotes,Aceite Oliva Laguna Brava Virgen Intenso 500 cc,128.0,1.0,1.0,0.0
