Fecha,Ciudad,Sucursal,Categoría,Índice_Laspeyres,Precio_Promedio_Pond,Inflación_Mensual_Acum,Inflación_Diaria
2026-05-31,Santa Cruz,Roca y Coronado,Lácteos y Derivados,99.8437,46.3,-0.15630000000000166,0.0004037938587262424
2026-05-31,Santa Cruz,Roca y Coronado,Frutas y Verduras,99.9437,36.8,-0.05629999999999313,3.001698961613286e-06
2026-05-31,Santa Cruz,Roca y Coronado,Panadería,100.0,43.45,0.0,0.0
2026-06-01,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-06-01,La Paz,Calacoto,Abarrotes,100.0373,22.44,0.03730000000000189,-9.996261398637074e-07
2026-06-01,La Paz,Calacoto,Bebidas,99.7928,34.22,-0.20720000000000027,-3.006219868817439e-06
2026-06-01,La Paz,Calacoto,Lácteos y Derivados,100.6485,26.31,0.6484999999999985,0.00013116669796775504
2026-06-01,La Paz,Calacoto,Frutas y Verduras,102.7186,35.48,2.718599999999995,-0.0018278693224056397
2026-06-01,La Paz,Calacoto,Panadería,102.427,46.34,2.4270000000000067,0.0
2026-06-01,Santa Cruz,Roca y Coronado,Carnes,100.0,0.0,0.0,0.0
2026-06-01,Santa Cruz,Roca y Coronado,Bebidas,100.0004,24.1,0.00039999999999906777,0.0003090942737535851
2026-06-01,Santa Cruz,Roca y Coronado,Lácteos y Derivados,99.8473,46.29,-0.15269999999999584,3.605635608461277e-05
2026-06-01,Santa Cruz,Roca y Coronado,Frutas y Verduras,99.9437,36.72,-0.05629999999999313,0.0
2026-06-01,Santa Cruz,Roca y Coronado,Panadería,100.0,43.48,0.0,0.0
2026-06-02,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-06-02,La Paz,Calacoto,Abarrotes,101.3414,22.84,1.341399999999993,0.01303613752070465
2026-06-02,La Paz,Calacoto,Bebidas,100.7268,34.55,0.7267999999999972,0.00935939266159469
2026-06-02,La Paz,Calacoto,Lácteos y Derivados,100.544,30.18,0.5439999999999969,-0.001038266839545554
2026-06-02,La Paz,Calacoto,Frutas y Verduras,100.684,34.75,0.6839999999999975,-0.019807512952863426
2026-06-02,La Paz,Calacoto,Panadería,102.7863,46.51,2.786299999999997,0.0035078641373855746
2026-06-02,Santa Cruz,Roca y Coronado,Carnes,100.0,0.0,0.0,0.0
2026-06-02,Santa Cruz,Roca y Coronado,Abarrotes,100.4524,21.93,0.45239999999999725,1.493266859720066e-05
2026-06-02,Santa Cruz,Roca y Coronado,Bebidas,99.9699,23.99,-0.030100000000004457,-0.0003049987800048948
2026-06-02,Santa Cruz,Roca y Coronado,Lácteos y Derivados,100.5587,46.62,0.5587000000000018,0.00712487969128861
2026-06-02,Santa Cruz,Roca y Coronado,Frutas y Verduras,98.7509,36.14,-1.2490999999999985,-0.01193471924693612
2026-06-02,Santa Cruz,Roca y Coronado,Panadería,100.9462,43.89,0.9462000000000046,0.009462000000000081
2026-06-03,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-06-03,La Paz,Calacoto,Abarrotes,101.316,22.73,1.3160000000000025,-0.00025063794263735506
2026-06-03,La Paz,Calacoto,Bebidas,100.765,34.56,0.7650000000000006,0.00037924365710018115
2026-06-03,La Paz,Calacoto,Lácteos y Derivados,100.544,30.18,0.5439999999999969,0.0
2026-06-03,La Paz,Calacoto,Frutas y Verduras,100.6873,34.53,0.6872999999999934,3.2775813435970136e-05
2026-06-03,La Paz,Calacoto,Panadería,102.7863,46.51,2.786299999999997,0.0
2026-06-03,Santa Cruz,Roca y Coronado,Carnes,100.0,0.0,0.0,0.0
2026-06-03,Santa Cruz,Roca y Coronado,Abarrotes,100.4523,21.95,0.45229999999999393,-9.954963744451817e-07
2026-06-03,Santa Cruz,Roca y Coronado,Bebidas,99.8973,23.42,-0.10269999999999868,-0.0007262185917961128
2026-06-03,Santa Cruz,Roca y Coronado,Frutas y Verduras,98.7524,36.23,-1.2476000000000056,1.5189734979603742e-05
2026-06-03,Santa Cruz,Roca y Coronado,Panadería,100.8235,43.84,0.8234999999999957,-0.0012154989489451262
2026-06-04,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-06-04,La Paz,Calacoto,Abarrotes,101.3169,23.29,1.316900000000004,8.88309842483892e-06
2026-06-04,La Paz,Calacoto,Lácteos y Derivados,100.565,30.18,0.5649999999999977,0.00020886378103113223
2026-06-04,La Paz,Calacoto,Panadería,102.7841,46.64,2.784099999999995,-2.1403630639516003e-05
2026-06-04,Santa Cruz,Roca y Coronado,Carnes,100.0,0.0,0.0,0.0
2026-06-04,Santa Cruz,Roca y Coronado,Abarrotes,100.457,22.06,0.45699999999999363,4.678837617455578e-05
2026-06-04,Santa Cruz,Roca y Coronado,Bebidas,99.8982,24.85,-0.10179999999999723,9.009252502245602e-06
2026-06-04,Santa Cruz,Roca y Coronado,Lácteos y Derivados,100.5775,47.14,0.5775000000000006,0.00018695547973468507
2026-06-04,Santa Cruz,Roca y Coronado,Frutas y Verduras,98.9055,36.49,-1.0944999999999965,0.0015503420676359347
2026-06-04,Santa Cruz,Roca y Coronado,Panadería,100.1664,43.79,0.16639999999999588,-0.006517329789186066
2026-06-05,La Paz,Calacoto,Carnes,100.0,64.0,0.0,0.0
2026-06-05,La Paz,Calacoto,Abarrotes,101.3103,23.41,1.310299999999998,-6.514214311736932e-05
2026-06-05,La Paz,Calacoto,Bebidas,100.7947,35.3,0.794700000000006,0.0002947451992258987
2026-06-05,La Paz,Calacoto,Lácteos y Derivados,100.5979,30.03,0.5978999999999957,0.00032715159349683276
2026-06-05,La Paz,Calacoto,Frutas y Verduras,100.6725,35.84,0.6724999999999994,-0.0001469897395202091
2026-06-05,La Paz,Calacoto,Panadería,102.7882,46.59,2.7882000000000033,3.9889438152584944e-05
2026-06-05,Santa Cruz,Roca y Coronado,Carnes,100.0,0.0,0.0,0.0
2026-06-05,Santa Cruz,Roca y Coronado,Abarrotes,100.4612,22.06,0.46120000000000516,4.1808933175513374e-05
2026-06-05,Santa Cruz,Roca y Coronado,Bebidas,99.9078,24.11,-0.09220000000000539,9.60978275883484e-05
2026-06-05,Santa Cruz,Roca y Coronado,Lácteos y Derivados,100.5618,47.18,0.5618000000000052,-0.00015609853098352833
2026-06-05,Santa Cruz,Roca y Coronado,Frutas y Verduras,98.9628,36.24,-1.0371999999999986,0.0005793408859973148
2026-06-05,Santa Cruz,Roca y Coronado,Panadería,100.1565,43.81,0.1564999999999941,-9.88355376653205e-05
2026-06-06,La Paz,Calacoto,Carnes,100.0,63.0,0.0,0.0
2026-06-06,La Paz,Calacoto,Abarrotes,101.266,23.48,1.2660000000000053,-0.00043727044535446513
2026-06-06,La Paz,Calacoto,Bebidas,100.7985,35.66,0.7985000000000042,3.770039496120425e-05
2026-06-06,La Paz,Calacoto,Lácteos y Derivados,100.6098,29.82,0.609800000000007,0.0001182927277807444
